time_elapsed,population_size,population_fitness
85.0,208.0,0.947829127848849
86.0,174.0,0.9452480813040072
87.0,156.0,0.9351509039218561
88.0,147.0,0.9263318760772509
89.0,143.0,0.9367274197114894
90.0,141.0,0.9414335977017144
91.0,140.0,0.9427389491557591
92.0,278.0,0.9452455333702724
93.0,209.0,0.9469241291229475
94.0,176.0,0.943128039404365
95.0,159.0,0.9528058054202931
96.0,151.0,0.9448754729509398
97.0,146.0,0.9399857811191833
98.0,143.0,0.9455009640065952
99.0,142.0,0.9480653930726901
100.0,282.0,0.9425992760761621
101.0,282.0,0.9425992760761621
102.0,214.0,0.9425260044737085
103.0,179.0,0.9400368051261163
104.0,161.0,0.9296705775309758
105.0,152.0,0.9208171562765358
106.0,147.0,0.9318827115325513
107.0,144.0,0.9376263226274185
108.0,143.0,0.938877664784705
109.0,284.0,0.9413041008512281
110.0,214.0,0.9425260044737085
111.0,180.0,0.9390292917317241
112.0,162.0,0.949210964470575
113.0,152.0,0.947384722074869
114.0,147.0,0.9400374854068142
115.0,145.0,0.9363833642772075
116.0,144.0,0.9380262797991293
117.0,286.0,0.9400270399651042
118.0,286.0,0.9400270399651042
119.0,216.0,0.9408237673409474
120.0,181.0,0.9380329110820212
121.0,164.0,0.9468874697103913
122.0,155.0,0.9437324576631395
123.0,150.0,0.9364104235813883
124.0,147.0,0.9339656912140551
125.0,146.0,0.9355695416393538
126.0,290.0,0.9375257620915926
127.0,219.0,0.9383287074340234
128.0,184.0,0.9351087504796323
129.0,166.0,0.9245203912841246
130.0,156.0,0.9166599059652276
131.0,151.0,0.9272946766346165
132.0,149.0,0.931621559926348
133.0,147.0,0.9339744465357475
134.0,292.0,0.9363008212151811
135.0,292.0,0.9363008212151811
136.0,221.0,0.9367029670421817
137.0,185.0,0.9341551053102046
138.0,166.0,0.9245203912841246
139.0,156.0,0.9166599059652276
140.0,151.0,0.9272946766346165
141.0,149.0,0.931621559926348
142.0,148.0,0.9327900542897999
143.0,294.0,0.9350925462010337
144.0,221.0,0.9367029670421817
145.0,186.0,0.9332117143899106
146.0,168.0,0.9424064441014653
147.0,158.0,0.9402188868366657
148.0,153.0,0.9329255994746064
149.0,150.0,0.9304600652724844
150.0,149.0,0.9320080957164577
151.0,296.0,0.9339005992276178
152.0,296.0,0.9339005992276178
153.0,224.0,0.9343187897264674
154.0,187.0,0.9322784132120796
155.0,168.0,0.9225461532228316
156.0,159.0,0.9136792359307048
157.0,154.0,0.9240100607417768
158.0,151.0,0.9293310014390521
159.0,150.0,0.9304686454877428
160.0,298.0,0.9327246515424359
161.0,224.0,0.9343187897264674
162.0,188.0,0.9313550407701829
163.0,169.0,0.9215765570152143
164.0,160.0,0.9127105181694848
165.0,155.0,0.9229434435378655
166.0,153.0,0.9271003268337771
167.0,151.0,0.9293310014390525
168.0,300.0,0.9315643831597232
169.0,300.0,0.9315643831597232
170.0,227.0,0.9319976303133711
171.0,190.0,0.9295374550161338
172.0,170.0,0.9206183678218044
173.0,160.0,0.9127105181694848
174.0,155.0,0.9229434435378655
175.0,153.0,0.9271003268337771
176.0,152.0,0.9282083263910029
177.0,302.0,0.9304194825701588
178.0,227.0,0.9319976303133711
179.0,191.0,0.9286429363727798
180.0,172.0,0.9381338382883037
181.0,164.0,0.9301164240204487
182.0,158.0,0.9262160555254869
