time_elapsed,population_size,average_fitness
364,281,1.6608198654241255
365,235,1.6559298222971996
366,212,1.6532159533236823
367,200,1.6556474437871451
368,193,1.6532952085560322
369,190,1.6532737121942263
370,188,1.6545008648458073
371,374,1.6532515261095793
372,374,1.6532515261095793
373,282,1.6465170877468447
374,235,1.6399915051714202
375,213,1.6497394074452272
376,201,1.653335896743469
377,195,1.6537585015637983
378,192,1.6554365869455248
379,190,1.655685565117504
380,378,1.6544557151524093
381,285,1.6477858277774782
382,239,1.6421179635059076
383,216,1.6513686849898355
384,203,1.6544562070283317
385,197,1.6549086425698207
386,193,1.6560148812652733
387,191,1.6562686113245173
388,380,1.655048302918223
389,380,1.655048302918223
390,287,1.6486169188079975
391,240,1.6426385027857038
392,217,1.6519017665827715
393,204,1.6550081245951387
394,198,1.6554749998833924
395,195,1.6571536762333938
396,193,1.6574165779497245
397,384,1.6562149600821687
398,289,1.6494365068484753
399,243,1.6441744149816457
400,219,1.6529533247934955
401,207,1.6566318820742962
402,200,1.6565907237911288
403,196,1.6577143584498408
404,194,1.6579816852317208
405,386,1.656789221380484
406,386,1.656789221380484
407,291,1.6502448290739635
408,243,1.6441744149816457
409,220,1.653471934183784
410,208,1.6571627258655597
411,202,1.6576843541561375
412,198,1.6588187325125394
413,196,1.6590946005932032
414,390,1.6579200743987048
415,294,1.65143669194726
416,247,1.6461642607415707
417,222,1.6544951364943539
418,209,1.6576884898119302
419,203,1.6582230883260924
420,200,1.6599010190939842
421,198,1.6601850328160699
422,394,1.6590279659343221
423,393,1.6587531073472415
424,296,1.6522178453169205
425,247,1.6641678805277684
426,222,1.6599658168433766
427,209,1.65667209631565
428,203,1.6581666071899144
429,200,1.6575799448255741
430,198,1.6587886173698163
431,394,1.6590279659343221
432,296,1.6662030170406574
433,248,1.6617545335418675
434,223,1.658830956958959
435,210,1.656894523937668
436,204,1.6600150679818588
437,201,1.6610304489270975
438,199,1.659332631305933
439,396,1.6595735185844367
440,396,1.6595735185844367
441,299,1.6672148334983465
442,250,1.6625968763987886
443,226,1.660267458291234
444,213,1.6624465015773249
445,206,1.662165619303353
446,203,1.6602409747278803
447,201,1.659831698465626
448,400,1.6606482573051622
449,301,1.6678781727485703
450,253,1.6638354200461194
451,228,1.6612041243646183
452,217,1.664374628564969
453,209,1.6636710992749364
454,205,1.661282988541823
455,203,1.660888010703965
456,404,1.6617017140710217
457,404,1.6617017140710217
458,305,1.6691787526555661
459,255,1.6646449256979696
460,231,1.6625787122385456
461,219,1.66531227936033
462,211,1.6646509693354299
463,208,1.6628084366492537
464,206,1.6624340210916306
465,410,1.6632433581186215
466,308,1.670132018610126
467,258,1.6658356520347026
468,232,1.6667879487593409
469,219,1.6635638023387456
470,212,1.6650118160057514
471,208,1.6641816292725555
472,206,1.6620882472348617
473,410,1.6633488595004988
474,410,1.6633488595004988
475,309,1.6571888474398688
476,258,1.6687218734657197
477,233,1.6652068163220026
478,220,1.6623874772443987
479,213,1.6628116696367132
480,210,1.6627742930637153
481,208,1.6633600791224157
482,414,1.6644552597207787
483,312,1.658245179586188
484,262,1.670223026399938
485,236,1.6665013998940574
486,224,1.6642564042696242
487,217,1.6653905082733664
488,213,1.6663625034207066
489,211,1.6648343063006326
490,420,1.6659208615912964
491,419,1.6656795094932875
492,316,1.6596224227642995
493,264,1.6541122485261632
494,237,1.6568866152612158
495,224,1.6615724480138336
496,217,1.6624514884539092
497,214,1.6648589647997825
498,212,1.6655069837756264
499,422,1.6664001342408965
500,316,1.6728593417415019
501,263,1.6680887692447828
502,237,1.6690856397975609
503,224,1.666066809071608
504,217,1.667562200521079
505,214,1.6672678448560905
506,212,1.6652628247211951
507,422,1.6664001342408965
508,422,1.6664001342408965
509,318,1.6602980514931849
510,265,1.6545384188738268
511,240,1.658263624953663
512,227,1.6629663899870917
513,221,1.6643446269553228
514,217,1.6653627881297037
515,215,1.666548289759323
516,428,1.6678110770878511
517,323,1.6619505180437089
518,271,1.6570293924188422
519,245,1.6604837018047527
520,232,1.66520951500153
521,225,1.6661704538655755
522,221,1.6672032334243152
523,218,1.6679313049092914
524,434,1.6691830076901901
525,434,1.6691830076901901
526,326,1.6629176671781871
527,274,1.6582339690418877
528,247,1.6660621888046228
529,233,1.6691385721589336
530,225,1.669055933738759
531,221,1.6702780750640895
532,219,1.6706296222280768
533,436,1.6696319268781112
534,328,1.6763052459701189
535,275,1.6724069636336805
536,248,1.67343071745665
537,235,1.67079355969901
538,227,1.6689507601749285
539,223,1.6709021973433436
540,221,1.6709543087393657
541,440,1.6705175220033741
542,440,1.6705175220033741
543,332,1.677398524821768
544,278,1.6734282632058746
545,252,1.6749166963963382
546,238,1.6720068432825146
547,230,1.6702302814420862
548,226,1.672178460971401
549,224,1.6722412696579056
550,446,1.6718161301018533
551,335,1.6782013504859643
552,280,1.677854972336707
553,252,1.6771435754600819
554,238,1.6765233744246588
555,230,1.6726477852724488
556,227,1.6729057502876015
557,225,1.6715308031827047
558,448,1.6722412696579028
559,447,1.6720291754274799
560,336,1.6660167660912482
561,281,1.6767698695347582
562,253,1.6732574546093553
563,239,1.6752472066692201
564,232,1.6756935268407198
565,228,1.672265342362034
566,226,1.6727097275764762
567,450,1.6726626301956766
568,338,1.6789899248070095
569,283,1.6788004750044137
570,255,1.678201267403575
571,242,1.6780196391557722
572,235,1.6773904641521165
573,231,1.6770666081903116
574,229,1.6752960110639823
575,228,1.6739045349385917
576,456,1.6739045349385886
577,343,1.668078615572182
578,286,1.6783481478760565
579,258,1.6750750890288837
580,244,1.6771283579804457
581,236,1.6772418974138776
582,232,1.673899515608499
583,230,1.6743503825865724
584,458,1.6745048008440437
585,457,1.6743023006475164
586,343,1.668337029779942
587,286,1.6786580642161322
588,257,1.6750621075955507
589,243,1.6771230783120712
590,236,1.6776174739954945
591,232,1.6742815676484197
592,230,1.674735756818145
593,458,1.674698329388283
594,344,1.6807834738429446
595,288,1.6769866914967533
596,259,1.6745488674590796
597,246,1.673550600530058
598,239,1.6762411053603603
599,235,1.6748213329184733
600,233,1.6751907549983958
601,232,1.6758924982840024
602,462,1.6754978883603069
603,348,1.6817750131166695
604,292,1.678220399704428
605,262,1.678771440731714
606,247,1.679010063899532
607,240,1.6761303839881463
608,236,1.6759893741098444
609,234,1.6766715999282162
